Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_AIR_GEMSTONE_RED,Gemstone Red,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_GLITTERING_GREEN,Glittering Green,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_GLOSS_VARNISH,Gloss Varnish,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_GNOME_CHEEKS,Gnome Cheeks,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_BASE_RETRIBUTOR_ARMOUR,Retributor Armour,Base,Base,#C39E81,"195, 158, 129",High
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_SPRAY_RETRIBUTOR_ARMOUR,Retributor Armour,Spray,Spray,#C39E81,"195, 158, 129",High
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_BASE_RETRIBUTOR_ARMOUR,Retributor Armour,Base,Base,#C39E81,"195, 158, 129",High
AP_AIR_GREEDY_GOLD,Greedy Gold,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_SPRAY_RETRIBUTOR_ARMOUR,Retributor Armour,Spray,Spray,#C39E81,"195, 158, 129",High
AP_AIR_GREMLIN_GREEN,Gremlin Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_HAZARDOUS_SMOG,Hazardous Smog,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_HOBGOBLIN_HUE,Hobgoblin Hue,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_HOT_PINK,Hot Pink,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_HUSK_BROWN,Husk Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_IMP_YELLOW,Imp Yellow,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_INCURSION_ORANGE,Incursion Orange,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_IONIC_BLUE,Ionic Blue,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_IRON_WOLF,Iron Wolf,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_LEVIATHAN_LIGHT,Leviathan Light,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_MAGNOLIA_BROWN,Magnolia Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_MAJESTIC_FORTRESS,Majestic Fortress,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_MATT_BLACK_PRIMER,Matt Black Primer,Air,Primer,No Match Found,,,,,,,,Review
AP_AIR_MATT_GREY_PRIMER,Matt Grey Primer,Air,Primer,No Match Found,,,,,,,,Review
AP_AIR_MATT_VARNISH,Matt Varnish,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_MATT_WHITE_PRIMER,Matt White Primer,Air,Primer,No Match Found,,,,,,,,Review
