Paint_ID,Company,Brand,Product_Line,Paint_Type,Paint_Name,Hex,RGB,Status,Source,Notes,Likely_Reason,Priority
GW_TECHNICAL_CONTRAST_MEDIUM,Games Workshop,Citadel,Technical,Technical,Contrast Medium,,,Active,N/A - Non-color Product,Active item from Warhammer.com paint listing. Price: £4.75. | Medium; no meaningful color distance target. Leave blank intentionally.,"Medium / additive, low priority",Ignore / Very Low
GW_TECHNICAL_STORMSHIELD,Games Workshop,Citadel,Technical,Technical,Stormshield,,,Active,N/A - Non-color Product,Active item from Warhammer.com paint listing. Price: £4.75. | Varnish/technical medium; no meaningful color distance target. Leave blank intentionally.,"Medium / additive, low priority",Ignore / Very Low
GW_AIR_AIR_CASTE_THINNER,Games Workshop,Citadel,Air,Air,Air Caste Thinner,,,Active,N/A - Non-color Product,Active item from Warhammer.com paint listing. Price: £4.75. | Thinner; no meaningful color distance target. Leave blank intentionally.,Air paint / air equivalent source needed,Medium
GW_SPRAY_MUNITORUM_VARNISH,Games Workshop,Citadel,Spray,Spray,Munitorum Varnish,,,Active,N/A - Non-color Product,Active item from Warhammer.com paint listing. Price: £15.00. | Varnish/spray; no meaningful color distance target. Leave blank intentionally.,Varnish / no normal color value,Ignore / Very Low
