Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,,,,,,,,,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
VAL_GAME_COLOR_BLACK_INK,Vallejo,Game Color,Game Color,GAME_COLOR,72.094,Black Ink,BLACK_INK,#000000,0,0,0,"0,0,0",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx; Catalogo_2026-R02.pdf page 53,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_AIR_ABADDON_BLACK,Abaddon Black,Air,Air,#000000,"0,0,0",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BLACK_WASH,Vallejo,Game Color,Game Color,GAME_COLOR,73.201,Black Wash,BLACK_WASH,#767376,118,115,118,"118,115,118",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf; Catalogo_2026-R02.pdf page 52,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_TEXTURE_ASTROGRANITE,Astrogranite,Texture,Texture,#757679,"117,118,121",4.36,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BLOODY_RED,Vallejo,Game Color,Game Color,GAME_COLOR,72.010,Bloody Red,BLOODY_RED,#CE0018,206,0,24,"206,0,24",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,,,,,,,,,,GW_AIR_EVIL_SUNZ_SCARLET,Evil Sunz Scarlet,Air,Air,#C01510,"192,21,16",26.48,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BLUE_SHADE_WASH,Vallejo,Game Color,Game Color,GAME_COLOR,73.207,Blue Shade Wash,BLUE_SHADE_WASH,#273E53,39,62,83,"39,62,83",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_ASURMEN_BLUE_WASH,Asurmen Blue Wash,Layer,Layer,#273E53,"39,62,83",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BLUE_WASH,Vallejo,Game Color,Game Color,GAME_COLOR,73.207,Blue Wash,BLUE_WASH,#273E53,39,62,83,"39,62,83",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Registry same paint-code reuse (Existing registry completed row); matched Game Color Blue Shade Wash.,,,,,,,,,,GW_LAYER_ASURMEN_BLUE_WASH,Asurmen Blue Wash,Layer,Layer,#273E53,"39,62,83",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BONE_WHITE,Vallejo,Game Color,Game Color,GAME_COLOR,72.034,Bone White,BONE_WHITE,#D3C89D,211,200,157,"211,200,157",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database,,,,,,,,,,GW_BASE_MORGHAST_BONE,Morghast Bone,Base,Base,#D5C79A,"213,199,154",3.74,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BONEWHITE,Vallejo,Game Color,Game Color,GAME_COLOR,72.034,Bonewhite,BONEWHITE,#EFD9A8,239,217,168,"239,217,168",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_BLEACHED_BONE,Bleached Bone,Layer,Layer,#EED5AC,"238,213,172",5.74,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BRASSY_BRASS,Vallejo,Game Color,Game Color,GAME_COLOR,72.058,Brassy Brass,BRASSY_BRASS,#735A21,115,90,33,"115,90,33",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_BASE_XV_88,XV-88,Base,Base,#72491E,"114,73,30",17.29,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BRIGHT_BRONZE,Vallejo,Game Color,Game Color,GAME_COLOR,72.057,Bright Bronze,BRIGHT_BRONZE,#B88044,184,128,68,"184,128,68",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf; Catalogo_2026-R02.pdf page 53,Imported from compiled central database | Approx Hex/RGB fill: Vallejo 2026 catalog swatch sample (Medium-High).,,,,,,,,,,GW_LAYER_HASHUT_COPPER,Hashut Copper,Layer,Layer,#B77647,"183,118,71",10.49,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_BRONZE_BROWN,Vallejo,Game Color,Game Color,GAME_COLOR,72.036,Bronze Brown,BRONZE_BROWN,#F7944A,247,148,74,"247,148,74",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database; Hex/RGB filled during audit from Registry same paint-code reuse (Existing registry completed row); matched Game Color Bronze Flesh.,,,,,,,,,,GW_LAYER_FIRE_DRAGON_BRIGHT,Fire Dragon Bright,Layer,Layer,#F58652,"245,134,82",16.25,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
