Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch
GW_LAYER_SUNBURST_YELLOW,Games Workshop,Citadel,Layer,LAYER,,Sunburst Yellow,SUNBURST_YELLOW,#FFD400,255,212,0,"255, 212, 0",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_TANNED_FLESH,Games Workshop,Citadel,Layer,LAYER,,Tanned Flesh,TANNED_FLESH,#A95C3E,169,92,62,"169, 92, 62",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_TENTACLE_PINK,Games Workshop,Citadel,Layer,LAYER,,Tentacle Pink,TENTACLE_PINK,#DC9DC6,220,157,198,"220, 157, 198",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_TERRACOTTA,Games Workshop,Citadel,Layer,LAYER,,Terracotta,TERRACOTTA,#793721,121,55,33,"121, 55, 33",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_THRAKA_GREEN_WASH,Games Workshop,Citadel,Layer,LAYER,,Thraka Green Wash,THRAKA_GREEN_WASH,#434F38,67,79,56,"67, 79, 56",Layer,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing uploaded GW registry row,Preserved from uploaded registry; product line normalized during audit.,
GW_LAYER_TIN_BITZ,Games Workshop,Citadel,Layer,LAYER,,Tin Bitz,TIN_BITZ,#473F39,71,63,57,"71, 63, 57",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_TUSKIGOR_FUR,Games Workshop,Citadel,Layer,LAYER,,Tuskigor Fur,TUSKIGOR_FUR,#883636,136,54,54,"136, 54, 54",Layer,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_LAYER_ULTRAMARINE_BLUE,Games Workshop,Citadel,Layer,LAYER,,Ultramarine Blue,ULTRAMARINE_BLUE,#0066B3,0,102,179,"0, 102, 179",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_VERMIN_BROWN,Games Workshop,Citadel,Layer,LAYER,,Vermin Brown,VERMIN_BROWN,#843910,132,57,16,"132, 57, 16",Layer,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing uploaded GW registry row,Preserved from uploaded registry; product line normalized during audit.,
GW_LAYER_VERMIN_FUR,Games Workshop,Citadel,Layer,LAYER,,Vermin Fur,VERMIN_FUR,#904F2E,144,79,46,"144, 79, 46",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_VILE_GREEN,Games Workshop,Citadel,Layer,LAYER,,Vile Green,VILE_GREEN,#82C59C,130,197,156,"130, 197, 156",Layer,Discontinued,Existing uploaded GW registry after artifact cleanup; Hex/RGB: Existing uploaded GW registry row,Preserved from uploaded registry; product line normalized during audit.,
GW_LAYER_VOMIT_BROWN,Games Workshop,Citadel,Layer,LAYER,,Vomit Brown,VOMIT_BROWN,#CE8B3C,206,139,60,"206, 139, 60",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
GW_LAYER_WARLOCK_PURPLE,Games Workshop,Citadel,Layer,LAYER,,Warlock Purple,WARLOCK_PURPLE,#A43E8B,164,62,139,"164, 62, 139",Layer,Discontinued,GW/Citadel Colours Revised PDF; Hex/RGB: GW/Citadel Colours Revised PDF,Historical Citadel/Games Workshop color from uploaded revised chart.,
