Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,AK_Source_Name,AK_Source_Line,AK_Source_URL,Nearest_GW_Product_Line,Nearest_GW_Paint_Name,Nearest_GW_Hex,GW_RGB_Distance
AK_3GEN_SPECTRUM_BLUE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11162,Spectrum Blue,SPECTRUM BLUE,#B3BEBF,179,190,191,179:190:191,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Spectrum Blue,3rd Gen General,https://ak-interactive.com/product/spectrum-blue-standard/,New/Current or Comparison,Runefang Steel,#B5B5BD,9.43
AK_3GEN_STAR_BLUE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11185,Star Blue,STAR BLUE,#064860,6,72,96,6:72:96,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Star Blue,3rd Gen General,https://ak-interactive.com/product/star-blue-standard/,Base,Stegadon Scale Green,#074864,4.12
AK_3GEN_STRONG_DARK_BLUE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11187,Strong Dark Blue,STRONG DARK BLUE,#061520,6,21,32,6:21:32,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Strong Dark Blue,3rd Gen General,https://ak-interactive.com/product/strong-dark-blue-standard/,Base,Abaddon Black,#231F20,30.68
AK_3GEN_SUN_RED,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,,Sun Red,SUN RED,#FF0000,255,0,0,255:0:0,Acrylic/Metallic comparison color,Active/Unknown,883483738-7-in-1-comparison-tool-stahly-V15.pdf,"Extracted from 7-in-1 comparison tool; use as reference, not canonical. Hex/RGB manually fixed from user-updated Missing_Color_Audit.",,Sun Red,Manual Color Fix,,,,,
AK_3GEN_SUNNY_SKIN_TONE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11055,Sunny Skin Tone,SUNNY SKIN TONE,#F6A654,246,166,84,246:166:84,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Sunny Skin Tone,3rd Gen General,https://ak-interactive.com/product/sunny-skin-tone-standard/,Technical,Martian Ironcrust,#F5945D,20.15
AK_3GEN_TAN_EARTH,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11121,Tan Earth,TAN EARTH,#7D5B33,125,91,51,125:91:51,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Tan Earth,3rd Gen General,https://ak-interactive.com/product/tan-earth-standard/,Base,Balthasar Gold,#87542F,12.85
AK_3GEN_TAN_YELOW,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11116,Tan Yelow,TAN YELOW,#D29847,210,152,71,210:152:71,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Tan Yellow,3rd Gen General,https://ak-interactive.com/product/tan-yellow-standard/,New/Current or Comparison,Reikland Fleshshade,#CE8C42,13.6
AK_3GEN_TENEBRIOUS_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11026,Tenebrious Grey,TENEBRIOUS GREY,#2F2C21,47,44,33,47:44:33,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Tenebrous Grey,3rd Gen General,https://ak-interactive.com/product/tenebrous-grey-standard/,New/Current or Comparison,Warplock Bronze,#393121,11.18
AK_3GEN_TURQUOISE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11171,Turquoise,TURQUOISE,#044B4E,4,75,78,4:75:78,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Turquoise,3rd Gen General,https://ak-interactive.com/product/turquoise-standard/,Base,Incubi Darkness,#0B4849,9.11
AK_3GEN_ULTRAMARINE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11179,Ultramarine,ULTRAMARINE,#243776,36,55,118,36:55:118,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Ultramarine,3rd Gen General,https://ak-interactive.com/product/ultramarine-standard/,New/Current or Comparison,Altdorf Guard Blue,#29397B,7.35
